a,b,c,n,l,m,quality,m is not a proper divisor of b
1,14177903040,14177903041,119071,2,57868992,1.1054,False
1,14994247400,14994247401,122451,2,10648,1.0889,False
1,15178239999,15178240000,123200,2,41067,1.0641,False
1,15178486400,15178486401,351,4,128,1.0986,False
1,15332135328,15332135329,123823,2,864,1.0034,False
1,15376248000,15376248001,124001,2,496008000,1.0206,False
1,15607255040,15607255041,124929,2,984064,1.0693,False
1,15624750000,15624750001,124999,2,250000,1.0145,False
1,15624999999,15625000000,50,6,441,1.0326,False
1,15851081727,15851081728,2512,3,13689,1.0543,False
1,15876252000,15876252001,126001,2,1134018000,1.0385,False
1,16649257023,16649257024,129032,2,2187,1.0469,False
1,16649515088,16649515089,129033,2,64516,1.0802,False
1,16795900800,16795900801,129599,2,259200,1.0101,False
1,16837917120,16837917121,129761,2,46656,1.0008,False
1,16912742400,16912742401,130049,2,66585600,1.0305,False
1,16983302399,16983302400,130320,2,130321,1.0100,False
1,16983563040,16983563041,19,8,144,1.0410,False
1,17154712575,17154712576,130976,2,16769025,1.0682,False
1,17172267848,17172267849,131043,2,262088,1.0061,False
1,17179607040,17179607041,131071,2,262144,1.0000,False
1,17449617408,17449617409,132097,2,135268352,1.0301,False
1,18132507648,18132507649,134657,2,9216,1.0006,False
1,18827956224,18827956225,137215,2,10036224,1.0672,False
1,18983328399,18983328400,137780,2,6561,1.0957,False
1,18983603960,18983603961,137781,2,6889,1.1320,False
1,19775390624,19775390625,375,4,32,1.0027,False
1,20369283840,20369283841,142721,2,20736,1.0153,False
1,20416123224,20416123225,142885,2,285768,1.0290,False
1,20635035200,20635035201,143649,2,606912800,1.0471,False
1,20663775000,20663775001,143749,2,16637500,1.1413,False
1,21025290000,21025290001,145001,2,21970000,1.0065,False
1,21574028160,21574028161,146881,2,253812096,1.0026,False
1,21667545600,21667545601,147199,2,12800,1.0164,False
1,21756249999,21756250000,147500,2,29403,1.0176,False
1,22164361128,22164361129,53,6,324,1.0308,False
1,22401919258,22401919259,2819,3,130321,1.0388,False
1,22552530624,22552530625,150175,2,4210704,1.0716,False
1,22649949000,22649949001,150499,2,81000,1.0200,False
1,22880495168,22880495169,151263,2,64,1.0180,False
1,22967705600,22967705601,151551,2,102400,1.0574,False
1,23436241920,23436241921,153089,2,1119744,1.0388,False
1,23651671680,23651671681,153791,2,1265472,1.0884,False
1,23854493600,23854493601,393,4,39200,1.0150,False
1,24226611200,24226611201,155649,2,204800,1.0542,False
1,24356284224,24356284225,156065,2,43808,1.0417,False
1,24413750000,24413750001,156249,2,15625,1.2112,False
1,24414062499,24414062500,156250,2,81,1.0958,False
1,25600320000,25600320001,160001,2,8640000,1.0251,False
1,25722065160,25722065161,160381,2,5832,1.0010,False
1,25937424600,25937424601,11,10,200,1.0256,False
1,26191861920,26191861921,161839,2,20225376,1.0085,False
1,27348890624,27348890625,165375,2,256,1.0706,False
1,27349221375,27349221376,165376,2,165375,1.0385,False
1,27518496768,27518496769,165887,2,23970816,1.0778,False
1,27680640624,27680640625,55,6,432,1.0603,False
1,27902695680,27902695681,167041,2,83521,1.3561,False
1,27903029763,27903029764,167042,2,343,1.0154,False
1,28476900000,28476900001,168751,2,100000,1.1162,False
1,29316250623,29316250624,124,5,1331,1.0285,False
1,29376246024,29376246025,171395,2,1728014472,1.0012,False
1,29446377471,29446377472,3088,3,9261,1.0056,False
1,29480546600,29480546601,171699,2,2146225,1.0625,False
1,29935382624,29935382625,3105,3,5488,1.0352,False
1,31381059608,31381059609,3,22,8,1.0120,False
1,31757969375,31757969376,126,5,625,1.0472,False
1,32112639999,32112640000,179200,2,3267,1.0145,False
1,32480690175,32480690176,180224,2,81,1.0810,False
